节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 2, 0, 0, 0, False, 1
112, 0, 22, 25, 26, 27, False, 21
113, 1, 4, 31, 32, 0, False, 1
114, 1, 4, 0, 0, 0, False, 2
115, 1, 4, 0, 0, 0, True, 3
116, 1, 29, 30, 33, 0, False, 18
117, 1, 30, 31, 32, 35, False, 20
118, 1, 31, 33, 36, 37, False, 21
119, 1, 29, 31, 33, 34, False, 22
120, 1, 32, 33, 35, 38, False, 23
121, 1, 29, 32, 35, 36, False, 24
122, 1, 29, 33, 37, 41, False, 25
123, 1, 30, 31, 32, 33, False, 26
124, 1, 33, 34, 38, 40, False, 27
125, 1, 29, 33, 35, 38, False, 28
126, 2, 5, 0, 0, 0, False, 4
127, 2, 45, 46, 0, 0, False, 29
128, 2, 45, 0, 0, 0, False, 30
129, 2, 47, 0, 0, 0, False, 31
130, 2, 46, 47, 0, 0, False, 32
131, 2, 45, 47, 49, 0, False, 33
132, 2, 45, 47, 49, 0, False, 34
133, 2, 48, 50, 51, 0, False, 35
134, 2, 48, 50, 51, 0, False, 36
135, 2, 49, 50, 51, 52, False, 37
136, 2, 50, 51, 52, 0, False, 38
137, 2, 45, 50, 52, 0, False, 39
138, 2, 46, 52, 53, 56, False, 40
139, 2, 45, 46, 47, 53, False, 41
140, 2, 48, 53, 54, 55, False, 42
141, 2, 46, 48, 54, 56, False, 43
142, 2, 47, 49, 54, 56, False, 44
143, 3, 6, 0, 0, 0, True, 3
144, 3, 6, 9, 11, 0, False, 5
145, 3, 60, 0, 0, 0, False, 45
146, 3, 61, 0, 0, 0, False, 46
147, 3, 60, 0, 0, 0, False, 47
148, 3, 60, 61, 63, 0, False, 48
149, 3, 61, 62, 63, 69, False, 49
150, 3, 60, 62, 63, 64, False, 50
151, 3, 61, 62, 64, 65, False, 51
152, 3, 61, 63, 64, 66, False, 52
153, 3, 62, 63, 64, 65, False, 53
154, 3, 60, 66, 67, 68, False, 54
155, 3, 65, 66, 67, 68, False, 55
156, 3, 60, 61, 62, 64, False, 56
157, 3, 60, 63, 64, 67, False, 57
158, 3, 62, 63, 70, 0, False, 58
159, 3, 62, 64, 69, 70, False, 59
160, 4, 15, 17, 0, 0, True, 3
161, 4, 7, 17, 0, 0, False, 6
162, 4, 15, 0, 0, 0, False, 9
163, 4, 15, 0, 0, 0, False, 10
164, 4, 15, 16, 17, 0, False, 11
165, 4, 15, 17, 0, 0, False, 12
166, 4, 16, 0, 0, 0, False, 13
167, 4, 17, 0, 0, 0, False, 14
168, 4, 71, 73, 0, 0, False, 60
169, 4, 71, 73, 74, 0, False, 61
170, 4, 71, 72, 74, 75, False, 62
171, 4, 72, 74, 76, 0, False, 63
172, 4, 73, 75, 76, 0, False, 64
173, 4, 73, 74, 76, 0, False, 65
174, 4, 71, 72, 73, 74, False, 66
175, 4, 71, 73, 74, 75, False, 67
176, 4, 72, 73, 76, 0, False, 68
177, 4, 73, 74, 75, 76, False, 69
178, 4, 73, 74, 75, 76, False, 70
179, 5, 77, 0, 0, 0, False, 71
180, 5, 77, 78, 0, 0, False, 72
181, 5, 77, 78, 0, 0, False, 73
182, 5, 78, 0, 0, 0, False, 74
183, 5, 79, 0, 0, 0, False, 75
184, 5, 79, 0, 0, 0, False, 76
185, 6, 80, 84, 86, 0, False, 70
186, 6, 80, 83, 84, 0, False, 75
187, 6, 80, 83, 85, 88, False, 77
188, 6, 81, 84, 94, 0, False, 78
189, 6, 81, 85, 86, 0, False, 79
190, 7, 95, 0, 0, 0, False, 80
191, 7, 96, 0, 0, 0, False, 81
192, 7, 97, 0, 0, 0, True, 83
193, 7, 97, 0, 0, 0, True, 84
194, 7, 98, 0, 0, 0, True, 85
195, 7, 98, 0, 0, 0, True, 86
196, 7, 99, 0, 0, 0, False, 87
197, 7, 91, 99, 0, 0, False, 88
198, 7, 91, 100, 0, 0, False, 89
199, 7, 91, 100, 0, 0, False, 90
200, 7, 101, 0, 0, 0, True, 92
201, 8, 103, 0, 0, 0, False, 95
202, 8, 103, 0, 0, 0, False, 96
203, 8, 104, 0, 0, 0, False, 99
204, 8, 104, 0, 0, 0, False, 100
205, 9, 105, 0, 0, 0, True, 97
206, 9, 106, 0, 0, 0, True, 101
207, 9, 105, 0, 0, 0, False, 103
208, 9, 106, 0, 0, 0, False, 104
209, 10, 107, 0, 0, 0, True, 98
210, 10, 108, 108, 0, 0, True, 102
211, 10, 107, 0, 0, 0, False, 105
212, 10, 108, 0, 0, 0, False, 106
213, 11, 109, 0, 0, 0, False, 107
214, 11, 109, 0, 0, 0, False, 108
215, 12, 110, 0, 0, 0, False, 109
